SDF File Name,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
1,330.248,320.168,330.0375673,122,0,0.344106101,-0.504137838,0.504137838,0.344106101,12.33920824,-0.815597128,12.33920824,0.005447373,2.463685568,1230.874578,17.17084392,12.49861747,12.49861747,11.47276421,6.801403877,6.801403877,5.138783211,5.138783211,3.940008279,3.940008279,2.914172894,2.914172894,-3.42,325708.5538,14.19002445,4.541294433,1.564677773,131.9335416,28.52108257,0,22.66506395,11.49902367,0,11.25117264,0,9.589074368,0,0,0,12.13273414,10.77244843,24.99204351,28.52108257,32.71093714,0,0,0,0,14.21959508,32.97298114,0,22.99804733,20.72489855,0,22.99804733,0,24.43264987,0,0,0,30.55611038,0,32.71093714,0,119.34,17.00068447,19.80212916,0,49.95947264,0,6.066367068,20.28596215,0,0,0,18.30802778,0,0,0,0,0,0,0,0,10.39918674,57.60081326,0.125,24,2,8,0,0,0,2,2,4,8,2,8,2,0,0,0,4,1.9188,83.6516,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,604.825,548.377,604.3975188,244,0,0.309856151,-0.4808042,0.4808042,0.309856151,12.98366609,-1.297871609,12.98366609,0.031290816,1.325489413,1164.48503,31.54324112,27.30538335,27.30538335,19.87618786,16.85307464,16.85307464,17.0892808,17.0892808,15.17666838,15.17666838,12.13449083,12.13449083,-1.03,1805914048,31.93226882,9.983572634,4.114607652,256.7824743,35.00636288,18.31189916,6.290026729,0,0,5.969305288,4.794537184,0,0,0,53.19154784,104.1248118,5.917906046,23.72688963,39.80090007,5.969305288,0,0,50.74657653,142.5604981,6.606881965,11.64912464,0,0,0,0,0,0,74.41576732,14.26826309,50.74657653,106.253555,11.64912464,0,0,0,136.68,41.58727246,30.32717416,0,46.20662232,24.67745534,44.94575136,5.57310453,0,6.9237372,47.6184433,9.473725908,0,0,0,0,0,0,0,0,0,97.83333333,0.914285714,43,5,8,5,1,6,0,0,0,7,5,8,3,4,1,5,6,4.6677,160.698,1,4,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,476.742,424.326,476.3865601,196,0,0.065412298,-0.392795401,0.392795401,0.065412298,11.76312143,-0.810304872,11.76312143,0.026438263,1.700440097,812.6229703,25.48276318,23.06451079,23.06451079,15.52118059,13.92130785,13.92130785,14.66964503,14.66964503,12.25256991,12.25256991,10.47051175,10.47051175,-0.42,17014957.12,26.63762186,8.29667759,3.599336538,207.7865797,20.42610958,0,0,0,0,0,0,0,0,0,46.26781064,117.4693706,0,23.91294997,20.42610958,0,0,0,45.33158606,130.6694206,0,11.64912464,0,0,0,0,0,0,44.33905955,0,45.33158606,106.7564706,11.64912464,0,0,0,80.92,23.91294997,20.42610958,0,39.41368002,5.917906046,51.36657298,5.57310453,0,6.9237372,54.5421805,0,0,0,0,0,0,0,0,0,0,71.25,0.933333333,34,4,4,4,0,4,0,0,0,4,4,4,4,4,0,4,4,5.4714,137.0732,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,588.826,532.378,588.4026041,238,0,0.333263021,-0.455671876,0.455671876,0.333263021,12.85243488,-1.231792269,12.85243488,0.02548968,1.580513903,1159.981492,31.25878407,27.11267801,27.11267801,19.44037799,16.24659806,16.24659806,16.49094655,16.49094655,14.48597155,14.48597155,11.45516579,11.45516579,-1.25,907650286.8,32.15257795,10.13266719,3.915961219,251.9851572,30.26949993,12.20793278,0,0,0,5.969305288,0,4.794537184,0,0,59.26756794,92.79191531,16.40308547,30.83668717,35.06403711,5.969305288,0,0,50.24366095,124.7515145,13.21376393,23.29824927,0,0,0,0,0,0,69.13157174,9.531400138,50.24366095,100.335649,23.29824927,0,0,0,127.45,53.23702421,30.32717416,0,34.68766547,30.75347545,25.68328649,5.57310453,19.92349451,13.8474744,33.77096891,4.736862954,0,0,0,0,0,0,0,0,0,95.83333333,0.857142857,42,5,7,5,0,5,0,0,0,7,5,7,4,4,0,4,5,4.5432,161.017,0,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,434.353,416.209,434.0849114,164,0,0.238632695,-0.507678166,0.507678166,0.238632695,13.14602946,-1.623396059,13.14602946,0.068403749,1.921864525,1201.93085,22.4468648,15.66674753,15.66674753,14.70561636,9.051638799,9.051638799,6.95549522,6.95549522,4.887804706,4.887804706,3.30887994,3.30887994,-3.51,8781104.572,20.75027266,7.63162971,3.4880337,172.7421069,49.63656861,40.78016719,17.25927109,17.46832895,0,0,4.794537184,0,0,0,0,18.19910121,17.69618563,6.606881965,49.63656861,10.96924436,0,0,0,24.60192589,6.606881965,40.55516292,0,40.07125808,10.16565335,0,28.74755917,0,66.95449962,4.736862954,0,0,39.54352346,0,22.29294327,0,190.28,59.63564558,40.54022895,0,28.0424551,0,24.26546827,6.066367068,0,0,0,13.89087684,0,0,0,0,0,0,0,0,5.655078971,87.34492103,0.25,31,7,11,0,1,1,2,1,3,11,7,11,4,0,1,1,4,0.1002,102.9676,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,438.429,412.221,438.152597,170,0,0.196207923,-0.506598973,0.506598973,0.196207923,12.39068256,-1.582382847,12.39068256,0.027079908,1.681922555,1042.612692,22.66240775,17.31032515,17.31032515,14.52891299,9.974619979,9.974619979,8.527937401,8.527937401,5.865131935,5.865131935,4.06325422,4.06325422,-2.21,6117750.47,22.00076097,7.731745466,3.688479775,176.7588541,44.16037677,64.34939819,11.71881712,0,0,0,4.794537184,0,0,0,0,20.7712116,24.11700725,6.606881965,44.16037677,10.96924436,0,0,0,69.6029427,6.606881965,33.67976062,0,11.49902367,10.16565335,0,11.49902367,0,74.55042842,15.89454753,6.9237372,25.17117331,21.34442226,0,10.96924436,0,159.05,54.44658184,30.32717416,0,23.13957781,17.07321074,0,6.066367068,26.83757867,0,0,18.6277398,0,0,0,0,0,0,0,0,5.566506864,79.3501598,0.571428571,31,5,10,0,2,2,1,1,2,10,5,10,3,0,1,1,4,-0.29438,105.937,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,929.107,852.499,928.5031656,372,0,0.186904391,-0.393566515,0.393566515,0.186904391,12.23026648,-1.860563914,12.23026648,0.09601857,0.991010622,1759.970267,46.97359806,38.84775931,38.84775931,30.51766138,24.05125246,24.05125246,22.92990565,22.92990565,18.79319503,18.79319503,15.88418968,15.88418968,-0.98,1.35101E+14,49.0192016,17.11204962,7.404320549,380.6352042,88.96017758,67.14363027,24.65719134,0,0,0,0,0,0,0,39.34407344,93.29483088,24.17453976,44.23651144,88.96017758,0,0,0,45.33158606,209.4425386,26.42752786,11.64912464,0,0,0,0,0,0,187.102607,37.89490363,45.33158606,99.83273338,11.64912464,0,0,0,276.14,128.7414752,51.06527395,0,40.10265593,25.36643126,44.09803427,0,0,6.9237372,47.6184433,37.89490363,0,0,0,0,0,0,0,0,0,157.8333333,0.957446809,65,10,18,4,5,9,0,0,0,18,10,18,10,4,5,9,9,-0.0333,224.835,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,676.829,628.445,676.3029667,260,0,0.394346529,-0.461723776,0.461723776,0.394346529,12.36239087,-4.666666667,12.36239087,0.003668745,1.86E-07,1268.635726,34.13925295,27.00439226,27.82088884,22.3717437,16.2376049,17.63456831,12.90105267,13.79671955,10.0136737,10.0136737,7.411138866,7.411138866,-2.91,16543983190,36.91779094,16.95972328,10.53783171,276.7957047,29.48660016,24.04374487,0,0,0,22.33761116,18.69457412,0,8.417796984,0,60.66367068,76.58881993,24.16736332,13.21376393,46.7991518,22.33761116,0,9.799819462,0,99.57768117,27.30910789,71.79057367,0,0,0,0,0,0,113.1591855,29.46180086,0,74.32928806,60.66367068,0,0,0,174.14,22.23481267,19.80212916,0,37.36030728,24.16736332,36.81018948,25.68328649,0,60.66367068,23.89516343,26.99702264,0,-4.666666667,0,0,0,0,0,0,31.58333333,93.33333333,0.588235294,47,4,12,0,4,4,2,0,2,10,4,13,8,0,4,4,6,3.209,174.089,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,454.695,408.327,454.3446953,184,0,0.309445707,-0.480813641,0.480813641,0.309445707,12.90406448,-0.547417566,12.90406448,0.16384153,1.571808237,902.2177862,24.18986997,21.92863612,21.92863612,15.25516083,13.67711459,13.67711459,14.29190296,14.29190296,13.2393676,13.2393676,11.31246273,11.31246273,-1.12,18890622.57,23.61391672,6.972899598,2.68833724,200.7210915,5.106527395,5.783244946,0,0,0,5.969305288,9.589074368,0,0,0,46.77072621,110.5456334,11.83581209,5.414990469,14.69560176,11.75255023,0,0,56.66448258,105.7506394,0,12.15204021,0,0,0,0,0,0,16.85907763,9.589074368,56.66448258,105.7506394,12.15204021,0,0,0,54.37,11.38429576,14.69560176,0,27.57786792,29.45486913,51.36657298,18.41474778,0,0,48.12135888,0,0,0,0,0,0,0,0,0,0,67.91666667,0.866666667,33,1,3,5,0,5,0,0,0,2,1,3,2,5,0,5,5,7.2977,131.6118,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,631.719,586.359,631.2992613,248,0,0.33801498,-0.455445102,0.455445102,0.33801498,13.70472063,-1.828841884,13.70472063,0.075392967,1.518556575,1346.908755,32.26685576,26.62087214,26.62087214,21.44781494,15.76825802,15.76825802,14.27364458,14.27364458,12.88313528,12.88313528,12.20110066,12.20110066,-2.16,11489002091,31.43992514,10.41914066,3.546534626,262.3967038,48.64066964,23.91294997,5.601050811,0,0,11.93861058,4.794537184,4.794537184,0,0,18.19910121,31.51913379,82.9540453,30.48223262,53.32983428,11.93861058,0,4.899909731,34.50160512,73.63312122,48.63850052,35.89528683,0,0,0,0,0,0,134.6643438,33.21571491,34.50160512,30.12336912,30.33183534,0,0,0,153.45,88.3482096,24.90865655,0,24.98745046,18.52902952,0,14.03353474,51.66122797,7.047671983,4.899909731,28.42117772,0,0,0,0,0,0,0,0,0,107.6666667,0.757575758,45,3,12,5,1,6,1,0,1,12,3,12,8,5,1,6,7,0.258,155.8509,0,3,2,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
