SDF File Name,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
1,499.541,474.341,499.1481253,176,0,2,-0.481229256,2,0.481229256,12.33183493,-1.299634376,12.33183493,0,4.08E-06,1107.581341,24.12059139,18.49883333,20.7072025,15.6507748,10.11274071,10.11274071,7.548961056,7.548961056,5.257995691,5.257995691,3.419860635,3.419860635,-3.03025974,15536332.87,27.21606324,11.90222297,6.744018595,223.6710181,36.79699781,11.7292271,5.817862778,5.948339281,11.46644662,49.67684508,19.36759007,4.794537184,4.983978521,0,0,30.6862899,37.80884418,6.041840829,24.59666634,78.72499942,0,15.28474565,0,24.9253249,41.40433921,40.18272384,0,0,32.14320992,23.14097461,0,0,107.9859031,9.589074368,0,23.19963192,29.06000546,0,0,0,202.77,23.88763113,24.28467613,0,73.69277625,24.59476186,5.687386275,12.13273414,19.18040612,4.899909731,25.91832285,10.84019487,0,0,0,0,0,0,0,0,0,92.66666667,0.35,34,8,13,0,1,1,1,1,2,9,7,14,9,0,0,0,3,-0.6385,126.3963,2,0,0,1,0,2,1,0,2,2,3,1,0,0,0,2,4,1,0,1,0,1,0,0,0,0,0,1,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,320.396,300.236,320.1637113,122,0,0.250483804,-0.365529746,0.365529746,0.250483804,11.54742992,-0.452781095,11.54742992,0.452781095,1.670030225,876.0231087,16.51829709,13.4046053,13.4046053,11.72034669,8.314549537,8.314549537,6.316135189,6.316135189,4.727706532,4.727706532,3.412156036,3.412156036,-2.66,618002.4917,14.90236391,6.091591861,2.672125442,140.0124918,11.05045608,5.516700718,0,0,5.907179729,0,4.794537184,4.681802935,5.098681808,0,24.26546827,49.0668584,18.12782419,11.25083777,4.794537184,16.81010466,0,15.09727335,5.733667477,18.75954929,13.08951281,59.78831603,0,5.687386275,11.05045608,0,0,0,28.77717728,0,0,34.68098946,48.66141305,0,16.59031121,0,72.94,5.907179729,4.794537184,0,0,16.99805826,24.1631233,18.40509474,10.74817,18.32957771,34.68093869,5.733667477,0,0,0,0,0,0,0,0,1.805562484,50.02777085,0.263157895,24,3,5,0,1,1,2,1,3,4,2,5,3,0,1,1,4,2.5914,94.4326,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,370.344,355.224,370.1189666,138,0,0.414335995,-0.441474125,0.441474125,0.414335995,14.62821419,-0.6076943,14.62821419,0.176075087,1.584974808,990.5887522,18.96589085,14.28062167,14.28062167,13.04604519,8.142723983,8.142723983,5.997702548,5.997702548,4.15397021,4.15397021,2.805561643,2.805561643,-3.4,2267364.651,17.03592063,6.723966942,3.217048397,152.5622256,9.843390349,17.61511522,0,5.824404498,0,6.093240071,9.883888252,9.184952232,4.796506222,10.19736362,6.066367068,29.47885337,17.32374656,25.88669663,19.02834258,11.78062635,0,25.19123346,7.047671983,6.103966388,18.0515481,42.34589975,0,22.64523548,4.899909731,14.87233851,0,0,55.64660568,11.78453494,5.817220841,0,36.52867891,0,22.64523548,0,106.26,18.0144273,9.184952232,0,13.15163837,28.33262175,0,21.95962659,31.31314026,0,20.39472723,9.843390349,0,0,0,0,0,0,0,0,14.62821419,55.87178581,0.235294118,27,1,9,0,1,1,1,2,3,8,1,10,4,0,1,1,4,1.3957,92.1238,0,1,1,0,0,5,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4,1257.74,1192.22,1252.071172,360,0,0.239979085,-0.353929472,0.353929472,0.239979085,12.70116377,-0.005655787,12.70116377,0,2.64E-07,1917.196527,41.00284951,37.11189694,47.31025036,29.37334637,21.79751258,24.10691366,16.80734799,18.95673893,12.87646864,14.80746291,9.555986776,11.46661005,-1.66,8.57223E+13,55.93204785,26.35497432,13.36047739,445.0679931,30.23321613,11.63572556,0,11.81435946,0,0,19.38889383,9.36360587,10.19736362,108.4310242,36.39820241,50.95458592,114.2591999,46.59988698,9.589074368,131.8811092,0,49.79418562,0,50.85648096,111.5961803,84.18426081,0,11.37477255,20.43339667,11.63572556,0,108.4310242,176.938692,9.589074368,13.8474744,24.22949924,72.79640482,0,11.37477255,0,113.28,0,9.589074368,0,96.99093592,23.89804112,137.4006326,11.63572556,0,45.4563235,114.1079671,10.19736362,0,3.703527835,0,0,0,0,0,0,4.120783992,110.5090215,0.545454545,65,2,14,0,6,6,2,2,4,14,2,21,8,0,6,6,10,6.02174,294.2514,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5,449.04,432.912,446.9306648,120,0,0.434134104,-0.389817481,0.434134104,0.389817481,12.50661423,-3.223114843,12.50661423,0.056359914,2.717854812,514.2363307,15.88046889,11.29066066,15.35708093,9.931669413,5.94988294,9.81754469,3.884779763,7.464405464,2.446299862,5.011844862,1.420723347,3.850880473,-0.32,40669.28341,18.7283559,8.962861105,5.76004027,138.3498651,10.11431827,18.49765353,0,0,0,13.61861902,9.088795447,14.74168977,0,0,36.84386632,4.923311049,23.74969211,7.047671983,14.0121065,45.47850682,0,19.72566829,7.047671983,6.606881965,23.74969211,22.00508984,0,0,10.17459013,5.948339281,0,39.53016753,38.22408132,22.74334939,10.11431827,5.693927995,6.196843572,0,0,0,111.32,12.59359079,14.67936655,0,12.55522125,29.4436201,0,17.8116152,0,0,47.01845644,4.523747162,0,0,0,0,0,0,0,0,19.19955877,31.97563335,0.666666667,21,2,9,0,0,0,0,1,1,6,2,12,10,0,0,0,1,1.922,85.8513,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,472.426,450.25,471.0173623,146,0,0.34921607,-1,1,0.34921607,13.12262306,-1.7196203,13.12262306,0,1.80E-06,768.6479329,18.10408353,15.07869964,18.29768934,12.41970543,8.923116416,10.68242204,7.992824274,9.88821266,6.362880818,8.320171816,4.829531547,6.543584491,-0.77,1195446.13,19.54227682,6.640307446,2.840710699,176.4314472,36.04473501,30.39558082,0,5.601050811,0,5.969305288,0,4.794537184,0,22.67357176,12.13273414,22.89285968,12.84164325,23.84963835,40.8392722,28.64287704,0,0,0,48.83827488,14.09534397,44.7798882,0,0,16.98145085,0,0,22.67357176,60.04978833,19.8693139,0,22.59593763,35.02559381,0,0,0,59.06,11.5703561,9.901064579,0,23.08541724,34.04590882,17.3246741,22.67357176,12.13273414,22.89285968,14.09534397,9.473725908,0,2.74369751,0,0,0,0,0,0,0.947917585,53.39171824,0.526315789,27,1,5,0,3,3,0,2,2,6,1,8,4,0,3,3,5,-0.6503,99.0962,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
7,441.535,414.319,441.2164751,168,0,0.283958574,-0.450924949,0.450924949,0.283958574,11.3513448,-0.543540706,11.3513448,0.199175703,1.10662025,1337.978238,22.7858818,18.51114404,18.51114404,16.10168809,11.41372167,11.41372167,8.668905848,8.668905848,6.547149542,6.547149542,4.684209826,4.684209826,-3.76,60429134.51,21.10496921,9.004597411,4.43150972,191.9125659,20.03470667,5.583020142,5.760247419,0,5.907179729,0,9.694446915,0,5.261891555,0,0,73.83524225,54.35240462,11.6326728,9.211688121,33.46673529,5.261891555,9.883888252,5.733667477,19.26246487,37.62369176,65.54856345,0,6.069221313,10.63357721,5.687386275,0,0,48.51485001,6.420821623,11.33111287,34.52333083,53.07856399,0,21.87216929,0,102.29,5.907179729,4.794537184,0,5.760247419,11.14647163,68.57655811,10.94967571,6.066367068,30.33183534,33.11622994,15.41270997,0,0,0,0,0,0,0,0,5.48823122,67.01176878,0.307692308,33,3,7,0,1,1,2,2,4,5,2,7,7,0,1,1,5,4.02958,129.3366,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8,434.471,411.287,434.1754188,164,0,0.271550147,-0.338908698,0.338908698,0.271550147,14.56357136,-0.574516435,14.56357136,0.012221855,1.342397518,1259.579177,22.24191173,17.51289975,17.51289975,15.50804039,10.83835556,10.83835556,8.427744266,8.427744266,6.212894956,6.212894956,4.234604977,4.234604977,-3.55,45182479.76,20.35811513,8.180995217,3.879817335,183.3854393,9.799819462,5.817220841,0,5.907179729,11.46644662,0,14.38361155,9.489096856,5.098681808,0,24.26546827,36.60419594,43.90397751,16.6436037,13.97948942,22.58680789,0,19.99718308,5.917906046,19.26246487,26.17902562,75.45642538,0,0,5.559266895,4.390415048,0,0,57.99056816,11.21535881,11.73512689,34.45701141,47.25910666,0,10.77244843,0,86.37,5.817220841,18.7740266,0,28.85498389,43.67999946,23.79131895,6.066367068,34.06528774,12.13273414,10.19736362,0,0,0,0,0,0,0,0,0,14.56357136,64.76976197,0.333333333,32,1,7,1,1,2,2,1,3,4,1,8,4,1,1,2,5,2.3474,116.7772,0,0,0,0,0,2,1,0,0,0,2,2,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,421.365,400.197,421.1202856,154,0,0.466474047,-0.354187835,0.466474047,0.354187835,13.88836312,-4.638888889,13.88836312,0.214659161,4.31E-07,1083.148169,21.1814338,15.56873739,16.46316459,13.6690351,8.815961873,10.38111025,6.600894834,7.627449097,4.49504232,4.49504232,3.430803553,3.430803553,-2.55,2299953.146,21.16589846,8.442870432,5.08724315,165.5631267,30.29779054,5.817220841,0,0,5.907179729,7.822697123,4.794537184,8.955463333,0,0,24.26546827,42.29158222,29.68636574,5.563451492,28.43023532,24.63280178,0,15.61755573,0,12.96557803,13.59242839,58.90577773,0,11.25737949,10.63357721,4.390415048,0,7.822697123,39.16382145,17.53062631,5.817220841,21.48489166,36.39820241,0,22.16030442,0,134.68,13.63991796,9.184952232,0,5.907179729,17.62490862,35.17263322,17.69618563,0,7.047671983,39.883024,19.24528309,0,0,0,0,0,0,0,0,22.77030757,59.03524799,0.210526316,29,6,8,0,1,1,2,1,3,3,6,10,3,0,0,0,4,2.0507,106.7565,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,314.249,304.169,314.0426527,116,0,0.347668607,-0.506895844,0.506895844,0.347668607,12.28169407,-0.690747354,12.28169407,0.072469293,2.281094138,1150.429873,16.30060043,11.78403503,11.78403503,10.9904023,6.613214632,6.613214632,5.052447018,5.052447018,3.709592779,3.709592779,2.653097762,2.653097762,-3.35,236439.531,13.32244127,4.325340459,1.731119224,127.0982535,28.89074701,33.43751238,17.08204381,0,0,5.625586319,0,4.794537184,0,0,0,6.066367068,23.58532542,7.109797541,28.89074701,32.90773307,0,0,0,0,7.109797541,34.68559178,0,22.99804733,10.36244927,0,22.99804733,0,22.42937973,0,0,0,37.89430733,0,32.90773307,0,113.27,11.37509815,20.11411937,0,44.40675673,5.749511833,0,31.37526582,0,0,0,13.57116483,0,0,0,0,0,0,0,0,10.83988993,52.99344341,0.0625,23,3,7,0,0,0,2,2,4,7,3,7,1,0,0,0,4,2.8178,81.3084,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
